Date,Temperature
2012-09,26.2
2012-10,19.4
2012-11,12.7
2012-12,7.3
2013-01,5.5
2013-02,6.2
2013-03,12.1
2013-04,15.2
2013-05,19.8
2013-06,22.9
2013-07,27.3
2013-08,29.2
2013-09,25.2
2013-10,19.8
2013-11,13.5
2013-12,8.3
2014-01,6.3
2014-02,5.9
2014-03,10.4
2014-04,15.0
2014-05,20.3
2014-06,23.4
2014-07,26.8
2014-08,27.7
2014-09,23.2
2014-10,19.1
2014-11,14.2
2014-12,6.7
2015-01,5.8
2015-02,5.7
2015-03,10.3
2015-04,14.5
2015-05,21.1
2015-06,22.1
2015-07,26.2
2015-08,26.7
2015-09,22.6
2015-10,18.4
2015-11,13.9
2015-12,9.3
2016-01,6.1
2016-02,7.2
2016-03,10.1
2016-04,15.4
2016-05,20.2
2016-06,22.4
2016-07,25.4
2016-08,27.1
2016-09,24.4
2016-10,18.7
2016-11,11.4
2016-12,8.9
2017-01,5.8
2017-02,6.9
2017-03,8.5
2017-04,14.7
2017-05,20.0
2017-06,22.0
2017-07,27.3
2017-08,26.4
2017-09,22.8
2017-10,16.8
2017-11,11.9
2017-12,6.6
2018-01,4.7
2018-02,5.4
2018-03,11.5
2018-04,17.0
2018-05,19.8
2018-06,22.4
2018-07,28.3
2018-08,28.1
2018-09,22.9
2018-10,19.1
2018-11,14.0
2018-12,8.3
2019-01,5.6
2019-02,7.2
2019-03,10.6
2019-04,13.6
2019-05,20.0
2019-06,21.8
2019-07,24.1
2019-08,28.4
2019-09,25.1
2019-10,19.4
2019-11,13.1
2019-12,8.5
2020-01,7.1
2020-02,8.3
2020-03,10.7
2020-04,12.8
2020-05,19.5
2020-06,23.2
2020-07,24.3
2020-08,29.1
2020-09,24.2
2020-10,17.5
2020-11,14.0
2020-12,7.7
2021-01,5.4
2021-02,8.5
2021-03,12.8
2021-04,15.1
2021-05,19.6
2021-06,22.7
2021-07,25.9
2021-08,27.4
2021-09,22.3
2021-10,18.2
2021-11,13.7
2021-12,7.9
2022-01,4.9
2022-02,5.2
2022-03,10.9
2022-04,15.3
2022-05,18.8
2022-06,23.0
2022-07,27.4
2022-08,27.5
2022-09,24.4
2022-10,17.2
2022-11,14.5
2022-12,7.5
2023-01,5.7
2023-02,7.3
2023-03,12.9
2023-04,16.3
2023-05,19.0
2023-06,23.2
2023-07,28.7
2023-08,29.2
2023-09,26.7
2023-10,18.9
2023-11,14.4
2023-12,9.4
